Creator,Ponzi_Addresses_Count,Ponzi_Addresses,Non_Ponzi_Addresses_Count,Non_Ponzi_Addresses
0xeb5fa6cbf2aca03a0df228f2df67229e2d3bd01e,0,,16,"0x627917e47cd111382ddf7fb1dc140d2daf8876b3, 0xf9e03d5e3d86277574cfd5f7e842f213cf88945f, 0xfd39bd49ab3df4eda75a23807dab186d4902f924, 0x260972db3571a4297b9e0cfa237eabbc9c6e35ce, 0x9c9dc2b707a99ae4b6795538ac6bf4f6d4842830, 0x1c94f41ab9cd8faa8af45ae7827bf5a8f891f4cd, 0x0318179601a70085aeb488f178b081295b65ecc9, 0xf236d15aa8164626e3457cd38e69d7f46f95eeb9, 0xd39fe1cffd8f070429169b416b7e07f486d553cf, 0xe2e4d0d3410cd3e81bfcb7dad364dd168bb499f3, 0xf884e0096f826f82d9999dc11becb836dbb7c1f7, 0x04daec4e1fc6a4b4555b509b7c5c673ebad29f1f, 0xc75175d7de7e8036f7c00a8e89f30dcf6e733f2e, 0xb4e348c10b8f1dcf2b5bc524f1f2ab912fde4048, 0x600ad7b57f3e6aeee53acb8704a5ed50b60cacd6, 0x401e28717a6a35a50938bc7f290f2678fc0a2816"
0x1f14c8687f345f99c99a5d169ffa153af7b89840,0,,2,"0xdac8da3e58c11b4e0e8dfaefe191107e143ac29b, 0xdfe639317f8e7653fd72abeac1900f94952152b2"
0xe82d5b10ad98d34df448b07a5a62c1affbef758f,0,,3,"0x7996d791995b9f9c15eb4c3e899b09a344c54bdb, 0x9497043f4cd9450867479f3fd873d80d9321094c, 0x9f8bf604abeb04d32b0ffae9c3a083be5858cf96"
0x5eee030600647b2f69f5227990cc8e35e559dd75,0,,2,"0xc726ac92955fc07ad09c5af4827418f581e37017, 0x8b4aa759d83ec43efba755fc27923e4a581bccc1"
0xa1e4380a3b1f749673e270229993ee55f35663b4,0,,3,"0xd05d56acd892f33010d93ddf6d9593511b618946, 0x943bbeef41460a3f0f3ac7f7a062128ad0ba9cb1, 0x0b0e47119bf5495dfcd9264916a9fe3481cd24c7"
0x13370ca2e8426a82bcfcce21c97817a243c521cf,0,,4,"0x50f54ed2cafd4b7245e60557a6b56d9ac9193025, 0x25af8d824b3b078a589e47418a95b4388d1552f4, 0x253137971b86074021334fb5b7e03ebf2545ead3, 0xe3b6638f0c1c0fa37282fab6ef9457e457a1e9a8"
0x4464b8a559ed286c3ae2d20acd6ddf664f5c8c1e,0,,4,"0xf36b0f457999cbbb436eeb28dbb5944bfc3f99de, 0x09f0aaabe4df881797698af29477a65ac9a302d1, 0xbaabe94c786fe90514dc6fa68499fd93ee583a5c, 0x1f36f2249ec89266ad4ee4351538148aaebc72e8"
0x9707f3c9ca3c554a6e6d31b71a3c03d7017063f4,0,,10,"0xd88838359c8ad2fa9577bd3e8bfe1cc49b70ac47, 0x706dded765c012b7f532c60c1d08563ba5e9f587, 0x5daf363941b3a15c6543a9d82dad014ce89dfccd, 0x222bf5c06cf4cb86554e165e6082350a6078735a, 0x683c53084d997e6056c555f85f031f8317e26c2b, 0x65bbc91459aaad9603ef1345c6bb6396dd6772b9, 0xf0d8af9125de2761b42dbb0b1014bf232219a1c5, 0xaf6d36e6a376cda44a5ce9280507e5e24132c143, 0xd8d4e59fabb7d8a1d013d577689cb612a8e5f826, 0xce3b5ffca16fff926c890f0885a3e90ceb89db0a"
0x21aad1d057cdb50e1168f18a793c954e30d654c9,0,,3,"0x01bfbb9b1a2abe32ceb0a9f2291e5d7e36e38b20, 0x6777c314b412f0196aca852632969f63e7971340, 0x71107a8959f1249920cf87dc8c994b9b483d25ef"
0x65a0a0586938e641ea4ad4b6dc5bbf57bbda5cd5,0,,2,"0xc3113bcda42b1824c07f8317b40152d6730a6f37, 0x448fae87f7f5b58c6f215abd53d5cd8125e733c5"
